equation,variable,missing_total,missing_rate,exclusive_loss
debt,b_outcome,229,12.534209,120
debt,readiness100,58,3.1746032,0
debt,theta_hat_A,150,8.2101803,0
debt,debt_gdp,103,5.6376572,0
debt,mA_hat,150,8.2101803,0
debt,TA_hat,58,3.1746032,0
debt,bmA_hat,150,8.2101803,0
debt,vulnerability100,58,3.1746032,0
debt,inflation_cpi,7,.38314176,2
debt,reserves,70,3.8314176,25
debt,tt,222,12.151068,148
ready,A_outcome,119,6.5134101,59
ready,interest_revenue,141,7.7175698,34
ready,theta_hat_A,150,8.2101803,13
ready,vulnerability100,58,3.1746032,0
ready,inflation_cpi,7,.38314176,2
ready,reserves,70,3.8314176,26
ready,tt,222,12.151068,145
