iso3,year,country_name,country_id
AUS,2000,Australia,AUS
AUS,2001,Australia,AUS
AUS,2002,Australia,AUS
AUS,2003,Australia,AUS
AUS,2004,Australia,AUS
AUS,2005,Australia,AUS
AUS,2006,Australia,AUS
AUS,2007,Australia,AUS
AUS,2008,Australia,AUS
AUS,2009,Australia,AUS
AUS,2010,Australia,AUS
AUS,2011,Australia,AUS
AUS,2012,Australia,AUS
AUS,2013,Australia,AUS
AUS,2014,Australia,AUS
AUS,2015,Australia,AUS
AUS,2016,Australia,AUS
AUS,2017,Australia,AUS
AUS,2018,Australia,AUS
AUT,2000,Austria,AUT
AUT,2001,Austria,AUT
AUT,2002,Austria,AUT
AUT,2003,Austria,AUT
AUT,2004,Austria,AUT
AUT,2005,Austria,AUT
AUT,2006,Austria,AUT
AUT,2007,Austria,AUT
AUT,2008,Austria,AUT
AUT,2009,Austria,AUT
AUT,2010,Austria,AUT
AUT,2011,Austria,AUT
AUT,2012,Austria,AUT
AUT,2013,Austria,AUT
AUT,2014,Austria,AUT
AUT,2015,Austria,AUT
AUT,2016,Austria,AUT
AUT,2017,Austria,AUT
AUT,2018,Austria,AUT
BEL,2000,Belgium,BEL
BEL,2001,Belgium,BEL
BEL,2002,Belgium,BEL
BEL,2003,Belgium,BEL
BEL,2004,Belgium,BEL
BEL,2005,Belgium,BEL
BEL,2006,Belgium,BEL
BEL,2007,Belgium,BEL
BEL,2008,Belgium,BEL
BEL,2009,Belgium,BEL
BEL,2010,Belgium,BEL
BEL,2011,Belgium,BEL
BEL,2012,Belgium,BEL
BEL,2013,Belgium,BEL
BEL,2014,Belgium,BEL
BEL,2015,Belgium,BEL
BEL,2016,Belgium,BEL
BEL,2017,Belgium,BEL
BEL,2018,Belgium,BEL
BGD,2016,Bangladesh,BGD
BGD,2017,Bangladesh,BGD
BGD,2018,Bangladesh,BGD
BRA,2008,Brazil,BRA
BRA,2009,Brazil,BRA
BRA,2010,Brazil,BRA
BRA,2011,Brazil,BRA
BRA,2012,Brazil,BRA
BRA,2013,Brazil,BRA
BRA,2014,Brazil,BRA
BRA,2015,Brazil,BRA
BRA,2016,Brazil,BRA
BRA,2017,Brazil,BRA
BRA,2018,Brazil,BRA
CAN,2000,Canada,CAN
CAN,2001,Canada,CAN
CAN,2002,Canada,CAN
CAN,2003,Canada,CAN
CAN,2004,Canada,CAN
CAN,2005,Canada,CAN
CAN,2006,Canada,CAN
CAN,2007,Canada,CAN
CAN,2008,Canada,CAN
CAN,2009,Canada,CAN
CAN,2010,Canada,CAN
CAN,2011,Canada,CAN
CAN,2012,Canada,CAN
CAN,2013,Canada,CAN
CAN,2014,Canada,CAN
CAN,2015,Canada,CAN
CAN,2016,Canada,CAN
CAN,2017,Canada,CAN
CAN,2018,Canada,CAN
CHE,2005,Switzerland,CHE
CHE,2006,Switzerland,CHE
CHE,2007,Switzerland,CHE
CHE,2008,Switzerland,CHE
CHE,2009,Switzerland,CHE
CHE,2010,Switzerland,CHE
CHE,2011,Switzerland,CHE
CHE,2012,Switzerland,CHE
CHE,2013,Switzerland,CHE
CHE,2014,Switzerland,CHE
CHE,2015,Switzerland,CHE
CHE,2016,Switzerland,CHE
CHE,2017,Switzerland,CHE
CHE,2018,Switzerland,CHE
CHL,2008,Chile,CHL
CHL,2009,Chile,CHL
CHL,2010,Chile,CHL
CHL,2011,Chile,CHL
CHL,2012,Chile,CHL
CHL,2013,Chile,CHL
CHL,2014,Chile,CHL
CHL,2015,Chile,CHL
CHL,2016,Chile,CHL
CHL,2017,Chile,CHL
CHL,2018,Chile,CHL
CHN,2003,China,CHN
CHN,2004,China,CHN
CHN,2005,China,CHN
CHN,2006,China,CHN
CHN,2007,China,CHN
CHN,2008,China,CHN
CHN,2009,China,CHN
CHN,2010,China,CHN
CHN,2011,China,CHN
CHN,2012,China,CHN
CHN,2013,China,CHN
CHN,2014,China,CHN
CHN,2015,China,CHN
CHN,2016,China,CHN
CHN,2017,China,CHN
CHN,2018,China,CHN
CZE,2001,Czech Republic,CZE
CZE,2002,Czech Republic,CZE
CZE,2003,Czech Republic,CZE
CZE,2004,Czech Republic,CZE
CZE,2005,Czech Republic,CZE
CZE,2006,Czech Republic,CZE
CZE,2007,Czech Republic,CZE
CZE,2008,Czech Republic,CZE
CZE,2009,Czech Republic,CZE
CZE,2010,Czech Republic,CZE
CZE,2011,Czech Republic,CZE
CZE,2012,Czech Republic,CZE
CZE,2013,Czech Republic,CZE
CZE,2014,Czech Republic,CZE
CZE,2015,Czech Republic,CZE
CZE,2016,Czech Republic,CZE
CZE,2017,Czech Republic,CZE
CZE,2018,Czech Republic,CZE
DEU,2000,Germany,DEU
DEU,2001,Germany,DEU
DEU,2002,Germany,DEU
DEU,2003,Germany,DEU
DEU,2004,Germany,DEU
DEU,2005,Germany,DEU
DEU,2006,Germany,DEU
DEU,2007,Germany,DEU
DEU,2008,Germany,DEU
DEU,2009,Germany,DEU
DEU,2010,Germany,DEU
DEU,2011,Germany,DEU
DEU,2012,Germany,DEU
DEU,2013,Germany,DEU
DEU,2014,Germany,DEU
DEU,2015,Germany,DEU
DEU,2016,Germany,DEU
DEU,2017,Germany,DEU
DEU,2018,Germany,DEU
DNK,2000,Denmark,DNK
DNK,2001,Denmark,DNK
DNK,2002,Denmark,DNK
DNK,2003,Denmark,DNK
DNK,2004,Denmark,DNK
DNK,2005,Denmark,DNK
DNK,2006,Denmark,DNK
DNK,2007,Denmark,DNK
DNK,2008,Denmark,DNK
DNK,2009,Denmark,DNK
DNK,2010,Denmark,DNK
DNK,2011,Denmark,DNK
